B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 1 0.60000000 1 1.0000000017 0.0000000083 0.0000000013 0.0000000013 0.0000000013 0.0000000009 0.0000000009 0.0000000009
0.1000 1 0.70000000 1 0.9999999933 0.0000000049 0.0000000011 0.0000000011 0.0000000011 0.0000000008 0.0000000007 0.0000000007
0.1500 1 0.80000000 1 0.9999999968 0.0000000061 0.0000000011 0.0000000011 0.0000000011 0.0000000008 0.0000000007 0.0000000007
0.2000 1 0.90000000 1 1.0000000011 0.0000000086 0.0000000013 0.0000000012 0.0000000012 0.0000000009 0.0000000008 0.0000000008
0.2500 1 1.00000000 1 0.9999999934 0.0000000025 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000005
0.3000 1 1.10000000 1 0.9999999993 0.0000000068 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004
0.3500 1 1.20000000 1 0.9999999960 0.0000000117 0.0000000009 0.0000000008 0.0000000008 0.0000000006 0.0000000006 0.0000000005
0.4000 1 1.30000000 1 0.9999999980 0.0000000168 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000008 0.0000000007
0.4500 1 1.40000000 1 0.9999999875 0.0000000077 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004
0.5000 1 1.50000000 1 0.9999999935 0.0000000164 0.0000000009 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006
0.5500 1 1.60000000 1 0.9999999896 0.0000000134 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000005
0.6000 1 1.70000000 1 0.9999999859 0.0000000104 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004
0.6500 1 1.80000000 1 0.9999999919 0.0000000197 0.0000000009 0.0000000009 0.0000000008 0.0000000007 0.0000000006 0.0000000006
0.7000 1 1.90000000 1 0.9999999993 0.0000000020 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.7500 1 2.00000000 1 0.9999999951 0.0000000165 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003
0.8000 1 2.10000000 1 0.9999999869 0.0000000042 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
0.8500 1 2.20000000 1 0.9999999952 0.0000000191 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004
0.9000 1 2.30000000 1 0.9999999934 0.0000000173 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004
0.9500 1 2.40000000 1 0.9999999946 0.0000000192 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004
1.0000 1 2.50000000 1 0.9999999891 0.0000000061 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.0500 1 2.60000000 1 0.9999999940 0.0000000184 0.0000000007 0.0000000007 0.0000000005 0.0000000005 0.0000000005 0.0000000004
1.1000 1 2.70000000 1 0.9999999946 0.0000000195 0.0000000008 0.0000000007 0.0000000005 0.0000000005 0.0000000005 0.0000000004
1.1500 1 2.80000000 1 0.9999999919 0.0000000132 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003
1.2000 1 2.90000000 1 0.9999999927 0.0000000144 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004
1.2500 1 3.00000000 1 0.9999999915 0.0000000102 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003
1.3000 1 3.10000000 1 0.9999999913 0.0000000093 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002
1.3500 1 3.20000000 1 0.9999999928 0.0000000138 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003
1.4000 1 3.30000000 1 0.9999999912 0.0000000074 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.4500 1 3.40000000 1 0.9999999939 0.0000000172 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000004
1.5000 1 3.50000000 1 0.9999999943 0.0000000178 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000004
1.5500 1 3.60000000 1 0.9999999930 0.0000000123 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003
1.6000 1 3.70000000 1 0.9999999917 0.0000000067 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.6500 1 3.80000000 1 0.9999999920 0.0000000075 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.7000 1 3.90000000 1 0.9999999929 0.0000000102 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002
1.7500 1 4.00000000 1 0.9999999972 0.0000000238 0.0000000011 0.0000000009 0.0000000007 0.0000000006 0.0000000006 0.0000000006
1.8000 1 4.10000000 1 0.9999999923 0.0000000196 0.0000000017 0.0000000014 0.0000000013 0.0000000013 0.0000000012 0.0000000011
1.8500 1 4.20000000 1 0.9999999920 0.0000000202 0.0000000017 0.0000000014 0.0000000013 0.0000000013 0.0000000011 0.0000000011
1.9000 1 4.30000000 1 0.9999999917 0.0000000208 0.0000000017 0.0000000014 0.0000000013 0.0000000013 0.0000000011 0.0000000011
1.9500 1 4.40000000 1 0.9999999914 0.0000000215 0.0000000017 0.0000000014 0.0000000013 0.0000000013 0.0000000011 0.0000000011
2.0000 1 4.50000000 1 0.9999999911 0.0000000221 0.0000000017 0.0000000015 0.0000000013 0.0000000013 0.0000000011 0.0000000011
2.0500 1 4.60000000 1 0.9999999908 0.0000000228 0.0000000016 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000011
2.1000 1 4.70000000 1 0.9999999905 0.0000000234 0.0000000016 0.0000000015 0.0000000014 0.0000000012 0.0000000010 0.0000000010
2.1500 1 4.80000000 1 0.9999999901 0.0000000240 0.0000000015 0.0000000015 0.0000000014 0.0000000012 0.0000000010 0.0000000010
2.2000 1 4.90000000 1 0.9999999898 0.0000000246 0.0000000015 0.0000000014 0.0000000014 0.0000000011 0.0000000010 0.0000000009
2.2500 1 5.00000000 1 0.9999999895 0.0000000252 0.0000000015 0.0000000014 0.0000000013 0.0000000010 0.0000000009 0.0000000008
2.3000 1 5.10000000 1 0.9999999891 0.0000000257 0.0000000015 0.0000000014 0.0000000012 0.0000000009 0.0000000009 0.0000000007
2.3500 1 5.20000000 1 0.9999999884 0.0000000269 0.0000000016 0.0000000014 0.0000000011 0.0000000008 0.0000000008 0.0000000006
2.4000 1 5.30000000 1 0.9999999868 0.0000000300 0.0000000017 0.0000000016 0.0000000008 0.0000000008 0.0000000006 0.0000000004
2.4500 1 5.40000000 1 0.9999999849 0.0000000335 0.0000000019 0.0000000018 0.0000000008 0.0000000006 0.0000000004 0.0000000001
2.5000 1 5.50000000 1 0.9999999822 0.0000000392 0.0000000022 0.0000000021 0.0000000008 0.0000000005 0.0000000003 -0.0000000000
2.5500 1 5.60000000 1 0.9999999968 0.0000000148 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000002
2.6000 1 5.70000000 1 0.9999999968 0.0000000153 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000002
2.6500 1 5.79999999 1 0.9999999944 0.0000000021 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
2.7000 1 5.89999999 1 0.9999999923 0.0000000238 0.0000000032 0.0000000028 0.0000000028 0.0000000017 0.0000000014 0.0000000014
2.7500 1 5.99999999 1 0.9999999925 0.0000000233 0.0000000032 0.0000000028 0.0000000028 0.0000000017 0.0000000014 0.0000000013
2.8000 1 6.09999999 1 0.9999999928 0.0000000227 0.0000000031 0.0000000028 0.0000000027 0.0000000017 0.0000000014 0.0000000013
2.8500 1 6.19999999 1 0.9999999930 0.0000000220 0.0000000030 0.0000000027 0.0000000026 0.0000000016 0.0000000013 0.0000000013
2.9000 1 6.29999998 1 0.9999999933 0.0000000213 0.0000000029 0.0000000027 0.0000000026 0.0000000016 0.0000000013 0.0000000012
