B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 1 0.60000000 2 1.0000000001 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001
0.1000 1 0.70000000 2 1.0000000004 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002
0.1500 1 0.80000000 2 1.0000000000 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2000 1 0.90000000 2 0.9999999999 0.0000000013 0.0000000010 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000004
0.2500 1 1.00000000 2 0.9999999887 0.0000000097 0.0000000040 0.0000000034 0.0000000029 0.0000000026 0.0000000021 0.0000000017
0.3000 1 1.10000000 2 0.9999999919 0.0000000149 0.0000000062 0.0000000051 0.0000000042 0.0000000039 0.0000000029 0.0000000027
0.3500 1 1.20000000 2 0.9999999815 0.0000000106 0.0000000046 0.0000000036 0.0000000028 0.0000000028 0.0000000019 0.0000000019
0.4000 1 1.30000000 2 0.9999999794 0.0000000164 0.0000000058 0.0000000045 0.0000000035 0.0000000034 0.0000000024 0.0000000022
0.4500 1 1.40000000 2 0.9999999852 0.0000000105 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002
0.5000 1 1.50000000 2 0.9999999785 0.0000000198 0.0000000057 0.0000000047 0.0000000032 0.0000000030 0.0000000027 0.0000000019
0.5500 1 1.60000000 2 0.9999999785 0.0000000183 0.0000000047 0.0000000039 0.0000000027 0.0000000024 0.0000000023 0.0000000016
0.6000 1 1.70000000 2 0.9999999789 0.0000000281 0.0000000069 0.0000000059 0.0000000039 0.0000000035 0.0000000034 0.0000000023
0.6500 1 1.80000000 2 0.9999999789 0.0000000257 0.0000000058 0.0000000050 0.0000000034 0.0000000030 0.0000000029 0.0000000020
0.7000 1 1.90000000 2 0.9999999780 0.0000000198 0.0000000041 0.0000000037 0.0000000026 0.0000000021 0.0000000021 0.0000000014
0.7500 1 2.00000000 2 0.9999999865 0.0000000075 0.0000000015 0.0000000013 0.0000000010 0.0000000008 0.0000000008 0.0000000006
0.8000 1 2.10000000 2 0.9999999871 0.0000000189 0.0000000038 0.0000000034 0.0000000025 0.0000000020 0.0000000019 0.0000000014
0.8500 1 2.20000000 2 0.9999999874 0.0000000147 0.0000000028 0.0000000025 0.0000000019 0.0000000015 0.0000000014 0.0000000011
0.9000 1 2.30000000 2 0.9999999887 0.0000000132 0.0000000022 0.0000000019 0.0000000016 0.0000000012 0.0000000011 0.0000000009
0.9500 1 2.40000000 2 0.9999999879 0.0000000053 0.0000000009 0.0000000008 0.0000000007 0.0000000005 0.0000000005 0.0000000004
1.0000 1 2.50000000 2 0.9999999888 0.0000000184 0.0000000030 0.0000000026 0.0000000024 0.0000000016 0.0000000015 0.0000000013
1.0500 1 2.60000000 2 0.9999999890 0.0000000075 0.0000000012 0.0000000010 0.0000000010 0.0000000006 0.0000000006 0.0000000005
1.1000 1 2.70000000 2 0.9999999897 0.0000000106 0.0000000017 0.0000000014 0.0000000013 0.0000000008 0.0000000008 0.0000000007
1.1500 1 2.79999999 2 0.9999999907 0.0000000148 0.0000000024 0.0000000021 0.0000000018 0.0000000012 0.0000000011 0.0000000010
1.2000 1 2.89999999 2 0.9999999912 0.0000000129 0.0000000021 0.0000000019 0.0000000014 0.0000000011 0.0000000009 0.0000000008
1.2500 1 2.99999999 2 0.9999999910 0.0000000060 0.0000000011 0.0000000010 0.0000000007 0.0000000006 0.0000000004 0.0000000004
1.3000 1 3.09999999 2 0.9999999916 0.0000000078 0.0000000013 0.0000000012 0.0000000008 0.0000000008 0.0000000004 0.0000000004
1.3500 1 3.19999999 2 0.9999999923 0.0000000088 0.0000000014 0.0000000012 0.0000000008 0.0000000008 0.0000000005 0.0000000004
1.4000 1 3.29999999 2 0.9999999928 0.0000000077 0.0000000013 0.0000000010 0.0000000007 0.0000000007 0.0000000004 0.0000000004
1.4500 1 3.39999998 2 0.9999999931 0.0000000024 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.5000 1 3.49999997 2 0.9999999941 0.0000000017 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.5500 1 3.60000000 2 0.9999999925 0.0000000142 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.6000 1 3.70000000 2 0.9999999894 0.0000000127 0.0000000009 0.0000000008 0.0000000005 0.0000000005 0.0000000004 0.0000000002
1.6500 1 3.80000000 2 0.9999999922 0.0000000059 0.0000000009 0.0000000006 0.0000000005 0.0000000005 0.0000000003 0.0000000002
1.7000 1 3.90000000 2 0.9999999922 0.0000000034 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001
1.7500 1 4.00000000 2 0.9999999958 0.0000000098 0.0000000017 0.0000000010 0.0000000009 0.0000000007 0.0000000005 0.0000000004
1.8000 1 4.10000000 2 0.9999999951 0.0000000045 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002
1.8500 1 4.20000000 2 0.9999999961 0.0000000220 0.0000000034 0.0000000019 0.0000000017 0.0000000015 0.0000000010 0.0000000007
1.9000 1 4.30000000 2 0.9999999952 0.0000000008 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
1.9500 1 4.40000000 2 0.9999999953 0.0000000036 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001
2.0000 1 4.50000000 2 0.9999999954 0.0000000017 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.0500 1 4.60000000 2 0.9999999954 0.0000000017 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.1000 1 4.70000000 2 0.9999999961 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.1500 1 4.80000000 2 0.9999999959 0.0000000054 0.0000000009 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002
2.2000 1 4.89999999 2 0.9999999959 0.0000000014 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.2500 1 4.99999999 2 0.9999999964 0.0000000069 0.0000000014 0.0000000007 0.0000000007 0.0000000006 0.0000000004 0.0000000004
2.3000 1 5.09999999 2 0.9999999965 0.0000000036 0.0000000008 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002
2.3500 1 5.19999998 2 0.9999999968 0.0000000034 0.0000000009 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003
2.4000 1 5.29999997 2 0.9999999971 0.0000000059 0.0000000017 0.0000000010 0.0000000009 0.0000000008 0.0000000006 0.0000000005
2.4500 1 5.39999996 2 0.9999999972 0.0000000052 0.0000000016 0.0000000010 0.0000000009 0.0000000008 0.0000000007 0.0000000005
2.5000 1 5.50000000 2 0.9999999957 0.0000000102 0.0000000038 0.0000000024 0.0000000022 0.0000000021 0.0000000017 0.0000000014
2.5500 1 5.60000000 2 0.9999999965 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.6000 1 5.70000000 2 0.9999999964 0.0000000002 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.6500 1 5.80000000 2 0.9999999963 0.0000000006 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
2.7000 1 5.90000000 2 0.9999999962 0.0000000003 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.7500 1 6.00000000 2 0.9999999961 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.8000 1 6.10000000 2 0.9999999961 0.0000000002 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.8500 1 6.20000000 2 0.9999999919 0.0000000123 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000003
2.9000 1 6.30000000 2 0.9999999961 0.0000000003 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.9500 1 6.40000000 2 0.9999999961 0.0000000004 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000 1 6.50000000 2 0.9999999965 0.0000000075 0.0000000014 0.0000000008 0.0000000006 0.0000000005 0.0000000003 0.0000000002
3.0500 1 6.60000000 2 0.9999999960 0.0000000006 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.1000 1 6.70000000 2 0.9999999961 0.0000000010 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
3.1500 1 6.80000000 2 0.9999999960 0.0000000002 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.2000 1 6.90000000 2 0.9999999960 0.0000000004 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.2500 1 7.00000000 2 0.9999999960 0.0000000008 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
3.3000 1 7.10000000 2 0.9999999961 0.0000000003 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.3500 1 7.20000000 2 0.9999999961 0.0000000011 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
3.4000 1 7.30000000 2 0.9999999970 0.0000000153 0.0000000025 0.0000000015 0.0000000010 0.0000000008 0.0000000007 0.0000000004
3.4500 1 7.40000000 2 0.9999999960 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.5000 1 7.50000000 2 0.9999999961 0.0000000014 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
3.5500 1 7.60000000 2 0.9999999960 0.0000000005 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.6000 1 7.70000000 2 0.9999999961 0.0000000011 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
3.6500 1 7.80000000 2 0.9999999961 0.0000000002 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.7000 1 7.90000000 2 0.9999999967 0.0000000161 0.0000000024 0.0000000015 0.0000000009 0.0000000009 0.0000000007 0.0000000004
3.7500 1 8.00000000 2 0.9999999953 0.0000000147 0.0000000046 0.0000000030 0.0000000027 0.0000000021 0.0000000020 0.0000000013
3.8000 1 8.10000000 2 0.9999999951 0.0000000150 0.0000000046 0.0000000031 0.0000000028 0.0000000021 0.0000000019 0.0000000013
3.8500 1 8.20000000 2 0.9999999950 0.0000000151 0.0000000046 0.0000000031 0.0000000029 0.0000000021 0.0000000019 0.0000000014
3.9000 1 8.30000000 2 0.9999999949 0.0000000153 0.0000000046 0.0000000032 0.0000000029 0.0000000021 0.0000000019 0.0000000014
3.9500 1 8.40000000 2 0.9999999948 0.0000000155 0.0000000046 0.0000000032 0.0000000030 0.0000000022 0.0000000019 0.0000000014
4.0000 1 8.50000000 2 0.9999999947 0.0000000156 0.0000000045 0.0000000032 0.0000000031 0.0000000022 0.0000000019 0.0000000015
4.0500 1 8.60000000 2 0.9999999946 0.0000000158 0.0000000045 0.0000000033 0.0000000031 0.0000000022 0.0000000019 0.0000000015
4.1000 1 8.70000000 2 0.9999999945 0.0000000159 0.0000000045 0.0000000033 0.0000000032 0.0000000022 0.0000000018 0.0000000015
4.1500 1 8.80000000 2 0.9999999944 0.0000000160 0.0000000045 0.0000000033 0.0000000032 0.0000000022 0.0000000018 0.0000000016
4.2000 1 8.90000000 2 0.9999999943 0.0000000161 0.0000000045 0.0000000034 0.0000000033 0.0000000022 0.0000000018 0.0000000016
4.2500 1 9.00000000 2 0.9999999942 0.0000000162 0.0000000045 0.0000000034 0.0000000033 0.0000000023 0.0000000018 0.0000000016
4.3000 1 9.10000000 2 0.9999999942 0.0000000163 0.0000000045 0.0000000035 0.0000000034 0.0000000023 0.0000000018 0.0000000016
4.3500 1 9.20000000 2 0.9999999941 0.0000000164 0.0000000045 0.0000000035 0.0000000034 0.0000000023 0.0000000018 0.0000000016
4.4000 1 9.30000000 2 0.9999999940 0.0000000165 0.0000000045 0.0000000035 0.0000000035 0.0000000023 0.0000000018 0.0000000017
4.4500 1 9.40000000 2 0.9999999940 0.0000000166 0.0000000045 0.0000000036 0.0000000035 0.0000000023 0.0000000018 0.0000000017
4.5000 1 9.50000000 2 0.9999999939 0.0000000167 0.0000000045 0.0000000036 0.0000000036 0.0000000024 0.0000000018 0.0000000017
4.5500 1 9.60000000 2 0.9999999939 0.0000000168 0.0000000045 0.0000000036 0.0000000036 0.0000000024 0.0000000018 0.0000000017
4.6000 1 9.70000000 2 0.9999999938 0.0000000169 0.0000000045 0.0000000037 0.0000000037 0.0000000024 0.0000000018 0.0000000017
4.6500 1 9.80000000 2 0.9999999938 0.0000000170 0.0000000044 0.0000000037 0.0000000037 0.0000000024 0.0000000018 0.0000000018
4.7000 1 9.90000000 2 0.9999999937 0.0000000170 0.0000000044 0.0000000037 0.0000000037 0.0000000024 0.0000000018 0.0000000018
4.7500 1 10.00000000 2 0.9999999937 0.0000000171 0.0000000044 0.0000000038 0.0000000038 0.0000000024 0.0000000018 0.0000000018
4.8000 1 10.10000000 2 0.9999999936 0.0000000172 0.0000000044 0.0000000038 0.0000000038 0.0000000025 0.0000000018 0.0000000018
4.8500 1 10.20000000 2 0.9999999936 0.0000000173 0.0000000044 0.0000000038 0.0000000038 0.0000000025 0.0000000018 0.0000000018
4.9000 1 10.30000000 2 0.9999999935 0.0000000173 0.0000000044 0.0000000039 0.0000000039 0.0000000025 0.0000000019 0.0000000018
4.9500 1 10.40000000 2 0.9999999935 0.0000000174 0.0000000044 0.0000000039 0.0000000039 0.0000000025 0.0000000019 0.0000000018
5.0000 1 10.50000000 2 0.9999999935 0.0000000174 0.0000000045 0.0000000039 0.0000000039 0.0000000025 0.0000000019 0.0000000018
