B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
0.0500 1 -1.44015809 1 1.0000000003 0.0000000034 0.0000000023 0.0000000019 0.0000000016 0.0000000015 0.0000000009 0.0000000009 0.0000000007 0.0000000007 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005
0.1000 1 -1.38062485 1 1.0000000024 0.0000000022 0.0000000015 0.0000000013 0.0000000011 0.0000000010 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.1500 1 -1.32138922 1 1.0000000027 0.0000000021 0.0000000015 0.0000000014 0.0000000011 0.0000000011 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.2000 1 -1.26244047 1 1.0000000006 0.0000000017 0.0000000011 0.0000000011 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
0.2500 1 -1.20376823 1 0.9999999937 0.0000000029 0.0000000019 0.0000000018 0.0000000014 0.0000000014 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005
0.3000 1 -1.14536240 1 1.0000000055 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
0.3500 1 -1.08721327 1 1.0000000038 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
0.4000 1 -1.02931142 1 0.9999999930 0.0000000026 0.0000000017 0.0000000015 0.0000000013 0.0000000012 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003
0.4500 1 -0.97164777 1 0.9999999996 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.5000 1 -0.91421356 1 1.0000000004 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.5500 1 -0.85700035 1 1.0000000001 0.0000000013 0.0000000009 0.0000000008 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.6000 1 -0.80000000 1 1.0000000007 0.0000000007 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.6500 1 -0.74320469 1 0.9999999993 0.0000000011 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.7000 1 -0.68660687 1 0.9999999946 0.0000000020 0.0000000013 0.0000000013 0.0000000010 0.0000000009 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
0.7500 1 -0.63019932 1 1.0000000025 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.8000 1 -0.57397507 1 1.0000000026 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.8500 1 -0.51792741 1 0.9999999990 0.0000000012 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.9000 1 -0.46204994 1 0.9999999999 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.9500 1 -0.40633646 1 1.0000000010 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.0000 1 -0.35078106 1 0.9999999984 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.0500 1 -0.29537804 1 0.9999999977 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.1000 1 -0.24012195 1 0.9999999991 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.1500 1 -0.18500753 1 0.9999999995 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.2000 1 -0.13002976 1 0.9999999993 0.0000000009 0.0000000006 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.2500 1 -0.07518381 1 1.0000000003 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.3000 1 -0.02046505 1 1.0000000003 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
1.3500 1 0.03413096 1 0.9999999997 0.0000000009 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.4000 1 0.08860850 1 1.0000000002 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.4500 1 0.14297166 1 1.0000000007 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
