B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
0.0500 1 -1.48023902 1 0.9999883074 0.0000070106 0.0000024333 0.0000022515 0.0000000015 0.0000000014 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
0.1000 1 -1.46095202 1 0.9999970381 0.0000017707 0.0000006112 0.0000005839 0.0000000014 0.0000000013 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.1500 1 -1.44213259 1 0.9999950006 0.0000025403 0.0000023937 0.0000000756 0.0000000020 0.0000000018 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
0.2000 1 -1.42377392 1 0.9999964324 0.0000019117 0.0000013870 0.0000002681 0.0000000037 0.0000000033 0.0000000009 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.2500 1 -1.40586885 1 0.9999994778 0.0000002864 0.0000001867 0.0000000496 0.0000000008 0.0000000007 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.3000 1 -1.38840987 1 0.9999991326 0.0000004779 0.0000003143 0.0000000831 0.0000000018 0.0000000017 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.3500 1 -1.37138922 1 0.9999994105 0.0000003243 0.0000002146 0.0000000574 0.0000000016 0.0000000015 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.4000 1 -1.35479884 1 0.9999992282 0.0000004186 0.0000002831 0.0000000707 0.0000000025 0.0000000023 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
0.4500 1 -1.33863047 1 0.9999995965 0.0000002183 0.0000001548 0.0000000352 0.0000000016 0.0000000014 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.5000 1 -1.32287566 1 0.9999997388 0.0000001376 0.0000001006 0.0000000237 0.0000000012 0.0000000011 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
0.5500 1 -1.30752580 1 0.9999999506 0.0000000292 0.0000000203 0.0000000055 0.0000000003 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
0.6000 1 -1.29257216 1 0.9999996928 0.0000001725 0.0000000975 0.0000000380 0.0000000029 0.0000000025 0.0000000010 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003
0.6500 1 -1.27800591 1 0.9999998805 0.0000000686 0.0000000319 0.0000000190 0.0000000018 0.0000000015 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002
0.7000 1 -1.26381817 1 0.9999999247 0.0000000437 0.0000000206 0.0000000130 0.0000000014 0.0000000011 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.7500 1 -1.25000000 1 0.9999999550 0.0000000274 0.0000000142 0.0000000072 0.0000000009 0.0000000007 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.8000 1 -1.23654246 1 0.9999997702 0.0000001223 0.0000000777 0.0000000254 0.0000000026 0.0000000021 0.0000000010 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003
0.8500 1 -1.22343663 1 0.9999998997 0.0000000533 0.0000000429 0.0000000059 0.0000000014 0.0000000011 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.9000 1 -1.21067360 1 0.9999999435 0.0000000329 0.0000000248 0.0000000042 0.0000000012 0.0000000009 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.9500 1 -1.19824453 1 0.9999997942 0.0000001086 0.0000001067 0.0000000019 0.0000000018 0.0000000013 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002
1.0000 1 -1.18614066 1 0.9999998253 0.0000000888 0.0000000840 0.0000000025 0.0000000019 0.0000000014 0.0000000008 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002
1.0500 1 -1.17435330 1 0.9999998929 0.0000000534 0.0000000368 0.0000000024 0.0000000013 0.0000000010 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.1000 1 -1.16287388 1 1.0000000010 0.0000000049 0.0000000030 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.1500 1 -1.15169394 1 0.9999999750 0.0000000163 0.0000000145 0.0000000007 0.0000000005 0.0000000004 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
1.2000 1 -1.14080515 1 0.9999999475 0.0000000311 0.0000000270 0.0000000015 0.0000000010 0.0000000007 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.2500 1 -1.13019932 1 0.9999999479 0.0000000281 0.0000000248 0.0000000014 0.0000000010 0.0000000007 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.3000 1 -1.11986842 1 0.9999998609 0.0000000748 0.0000000710 0.0000000035 0.0000000029 0.0000000020 0.0000000012 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003
1.3500 1 -1.10980455 1 0.9999999898 0.0000000124 0.0000000094 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.4000 1 -1.10000000 1 0.9999999055 0.0000000491 0.0000000465 0.0000000024 0.0000000021 0.0000000015 0.0000000009 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.4500 1 -1.09044722 1 0.9999999818 0.0000000107 0.0000000091 0.0000000007 0.0000000005 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
1.5000 1 -1.08113883 1 0.9999998906 0.0000000548 0.0000000489 0.0000000026 0.0000000025 0.0000000017 0.0000000010 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002
1.5500 1 -1.07206763 1 0.9999999718 0.0000000226 0.0000000167 0.0000000010 0.0000000009 0.0000000006 0.0000000004 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.6000 1 -1.06322658 1 0.9999999968 0.0000000062 0.0000000050 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.6500 1 -1.05460885 1 0.9999999620 0.0000000211 0.0000000192 0.0000000011 0.0000000011 0.0000000007 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.7000 1 -1.04620776 1 0.9999999153 0.0000000436 0.0000000418 0.0000000024 0.0000000021 0.0000000016 0.0000000010 0.0000000007 0.0000000006 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.7500 1 -1.03801684 1 0.9999999636 0.0000000202 0.0000000181 0.0000000011 0.0000000010 0.0000000007 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.8000 1 -1.03002976 1 0.9999999136 0.0000000436 0.0000000386 0.0000000023 0.0000000020 0.0000000016 0.0000000010 0.0000000007 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.8500 1 -1.02224041 1 0.9999999485 0.0000000283 0.0000000234 0.0000000015 0.0000000015 0.0000000010 0.0000000007 0.0000000005 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.9000 1 -1.01464282 1 0.9999999284 0.0000000294 0.0000000279 0.0000000018 0.0000000017 0.0000000012 0.0000000008 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
1.9500 1 -1.00723122 1 0.9999999806 0.0000000220 0.0000000128 0.0000000010 0.0000000009 0.0000000006 0.0000000004 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.0000 1 -1.00000000 1 0.9999999777 0.0000000143 0.0000000124 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.0500 1 -0.99294372 1 0.9999999648 0.0000000238 0.0000000182 0.0000000013 0.0000000010 0.0000000008 0.0000000006 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.1000 1 -0.98605711 1 0.9999999698 0.0000000183 0.0000000151 0.0000000011 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.1500 1 -0.97933506 1 0.9999999479 0.0000000251 0.0000000220 0.0000000015 0.0000000013 0.0000000010 0.0000000007 0.0000000005 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.2000 1 -0.97277261 1 0.9999999698 0.0000000239 0.0000000170 0.0000000013 0.0000000009 0.0000000008 0.0000000006 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.2500 1 -0.96636498 1 0.9999999721 0.0000000117 0.0000000113 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.3000 1 -0.96010752 1 1.0000000103 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.3500 1 -0.95399574 1 0.9999997509 0.0000001303 0.0000001120 0.0000000085 0.0000000054 0.0000000053 0.0000000039 0.0000000028 0.0000000021 0.0000000011 0.0000000010 0.0000000009 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000006
2.4000 1 -0.94802529 1 0.9999997537 0.0000001287 0.0000001110 0.0000000085 0.0000000053 0.0000000051 0.0000000040 0.0000000028 0.0000000021 0.0000000011 0.0000000010 0.0000000009 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000006
2.4500 1 -0.94219196 1 0.9999997580 0.0000001265 0.0000001093 0.0000000084 0.0000000052 0.0000000048 0.0000000040 0.0000000028 0.0000000021 0.0000000011 0.0000000010 0.0000000009 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000006
2.5000 1 -0.93649167 1 0.9999997641 0.0000001232 0.0000001068 0.0000000083 0.0000000051 0.0000000045 0.0000000040 0.0000000028 0.0000000021 0.0000000011 0.0000000010 0.0000000009 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000006
2.5500 1 -0.93092050 1 0.9999997726 0.0000001188 0.0000001033 0.0000000081 0.0000000050 0.0000000041 0.0000000039 0.0000000028 0.0000000021 0.0000000010 0.0000000010 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006
2.6000 1 -0.92547463 1 0.9999997843 0.0000001128 0.0000000983 0.0000000079 0.0000000048 0.0000000039 0.0000000038 0.0000000028 0.0000000021 0.0000000010 0.0000000010 0.0000000008 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006
2.6500 1 -0.92015037 1 0.9999997997 0.0000001049 0.0000000916 0.0000000076 0.0000000046 0.0000000038 0.0000000034 0.0000000027 0.0000000020 0.0000000010 0.0000000009 0.0000000008 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006
2.7000 1 -0.91494417 1 0.9999998199 0.0000000946 0.0000000828 0.0000000072 0.0000000043 0.0000000037 0.0000000029 0.0000000026 0.0000000020 0.0000000010 0.0000000009 0.0000000008 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006
2.7500 1 -0.90985257 1 0.9999998457 0.0000000814 0.0000000715 0.0000000067 0.0000000040 0.0000000035 0.0000000025 0.0000000024 0.0000000019 0.0000000010 0.0000000009 0.0000000008 0.0000000008 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006
2.8000 1 -0.90487226 1 0.9999998432 0.0000000829 0.0000000728 0.0000000072 0.0000000042 0.0000000038 0.0000000027 0.0000000024 0.0000000020 0.0000000011 0.0000000010 0.0000000009 0.0000000009 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000007
2.8500 1 -0.90000000 1 0.9999999734 0.0000000090 0.0000000082 0.0000000009 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.9000 1 -0.89523268 1 0.9999999946 0.0000000036 0.0000000030 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.9500 1 -0.89056730 1 0.9999999834 0.0000000088 0.0000000078 0.0000000008 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.0000 1 -0.88600094 1 0.9999999889 0.0000000056 0.0000000053 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.0500 1 -0.88153078 1 0.9999999805 0.0000000103 0.0000000093 0.0000000009 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.1000 1 -0.87715411 1 0.9999999743 0.0000000143 0.0000000126 0.0000000012 0.0000000007 0.0000000007 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
