shell dim B M m scenario energy rank bp_bound eig1 eig2 eig3
2 8 0.50 0.5 1 Jz -0.86602540 1 1 1.00000000 0.00000000 0.00000000
2 8 0.50 0.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
2 8 0.50 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
2 8 0.50 1.5 1 Jz 1.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 0.50 1.5 2 Jz+J² 1.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 0.50 1.5 3 Jz+J²+L² 1.50000000 1 2 1.00000000 0.00000000 0.00000000
2 8 1.00 0.5 1 Jz -0.78077641 1 1 1.00000000 0.00000000 0.00000000
2 8 1.00 0.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
2 8 1.00 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
2 8 1.00 1.5 1 Jz 2.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 1.00 1.5 2 Jz+J² 2.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 1.00 1.5 3 Jz+J²+L² 2.50000000 1 2 1.00000000 0.00000000 0.00000000
2 8 2.00 0.5 1 Jz -0.68614066 1 1 1.00000000 0.00000000 0.00000000
2 8 2.00 0.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
2 8 2.00 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
2 8 2.00 1.5 1 Jz 4.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 2.00 1.5 2 Jz+J² 4.50000000 1 1 1.00000000 0.00000000 0.00000000
2 8 2.00 1.5 3 Jz+J²+L² 4.50000000 1 2 1.00000000 0.00000000 0.00000000
3 18 0.50 0.5 1 Jz -1.32287566 1 1 1.00000000 0.00000000 0.00000000
3 18 0.50 0.5 2 Jz+J² -1.31774077 2 1 0.99126935 0.00872939 0.00000071
3 18 0.50 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
3 18 0.50 1.5 1 Jz -0.91421356 1 1 1.00000000 0.00000000 0.00000000
3 18 0.50 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
3 18 0.50 1.5 3 Jz+J²+L² 1.50000000 1 2 1.00000000 0.00000000 0.00000000
3 18 1.00 0.5 1 Jz -1.18614066 1 1 1.00000000 0.00000000 0.00000000
3 18 1.00 0.5 2 Jz+J² -1.16958058 2 1 0.96683594 0.03316378 0.00000016
3 18 1.00 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
3 18 1.00 1.5 1 Jz -0.35078106 1 1 1.00000000 0.00000000 0.00000000
3 18 1.00 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
3 18 1.00 1.5 3 Jz+J²+L² 2.50000000 1 2 1.00000000 0.00000000 0.00000000
3 18 2.00 0.5 1 Jz -1.00000000 1 1 1.00000000 0.00000000 0.00000000
3 18 2.00 0.5 2 Jz+J² -0.96107219 2 1 0.89041211 0.10958765 0.00000014
3 18 2.00 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
3 18 2.00 1.5 1 Jz 0.73443556 1 1 1.00000000 0.00000000 0.00000000
3 18 2.00 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
3 18 2.00 1.5 3 Jz+J²+L² 4.50000000 1 2 1.00000000 0.00000000 0.00000000
4 32 0.50 0.5 1 Jz -1.80277564 1 1 0.99999959 0.00000019 0.00000019
4 32 0.50 0.5 2 Jz+J² -1.31774076 2 1 0.99127473 0.00872519 0.00000004
4 32 0.50 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
4 32 0.50 1.5 1 Jz -1.37082869 1 1 1.00000000 0.00000000 0.00000000
4 32 0.50 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
4 32 0.50 1.5 3 Jz+J²+L² 1.50000000 1 2 1.00000000 0.00000000 0.00000000
4 32 1.00 0.5 1 Jz -1.63745861 1 1 0.99999999 0.00000000 0.00000000
4 32 1.00 0.5 2 Jz+J² -1.16958058 2 1 0.96683869 0.03316129 0.00000001
4 32 1.00 0.5 3 Jz+J²+L² 1.16666657 4 2 0.59859462 0.22514925 0.12736301
4 32 1.00 1.5 1 Jz -0.76556444 1 1 0.99999934 0.00000037 0.00000024
4 32 1.00 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
4 32 1.00 1.5 3 Jz+J²+L² 2.50000000 1 2 1.00000000 0.00000000 0.00000000
4 32 2.00 0.5 1 Jz -1.38600094 1 1 0.99999999 0.00000001 0.00000001
4 32 2.00 0.5 2 Jz+J² -0.96107219 2 1 0.89041723 0.10958251 0.00000012
4 32 2.00 0.5 3 Jz+J²+L² NaN -1 2 0.00000000 0.00000000 0.00000000
4 32 2.00 1.5 1 Jz 0.39150472 1 1 0.99999999 0.00000001 0.00000001
4 32 2.00 1.5 2 Jz+J² NaN -1 1 0.00000000 0.00000000 0.00000000
4 32 2.00 1.5 3 Jz+J²+L² 4.50000000 1 2 1.00000000 0.00000000 0.00000000
